composition,phases,HV,yield_strength_MPa,ref,source
Mo0.667Nb0.667Ti0.667V1Zr0.667,BCC,,1735.0,Kaggle-HEA-Dataset-2024,kaggle
Mo0.5Nb0.5Ti0.5V1Zr0.5,BCC,,1538.0,Kaggle-HEA-Dataset-2024,kaggle
Mo0.333Nb0.333Ti0.333V1Zr0.333,BCC,,1418.0,Kaggle-HEA-Dataset-2024,kaggle
Mo1Nb1Ti1Zr1,BCC,,1592.0,Kaggle-HEA-Dataset-2024,kaggle
Co1Fe1Mo0.2Ni1V1,FCC+BCC,267.0,,Kaggle-HEA-Dataset-2024,kaggle
Co1Fe1Mo0.4Ni1V1,FCC+BCC,402.0,,Kaggle-HEA-Dataset-2024,kaggle
Co1Fe1Mo0.6Ni1V1,FCC+BCC,557.0,,Kaggle-HEA-Dataset-2024,kaggle
Co1Fe1Mo0.8Ni1V1,FCC+BCC,606.0,,Kaggle-HEA-Dataset-2024,kaggle
Co0.833Fe0.833Mo0.833Ni1V0.833,FCC+BCC,602.0,,Kaggle-HEA-Dataset-2024,kaggle
Co0.714Fe0.714Mo0.714Ni1V0.714,FCC+BCC,538.0,,Kaggle-HEA-Dataset-2024,kaggle
Co0.625Fe0.625Mo0.625Ni1V0.625,FCC+BCC,520.0,,Kaggle-HEA-Dataset-2024,kaggle
Co0.556Fe0.556Mo0.556Ni1V0.556,FCC+BCC,510.0,,Kaggle-HEA-Dataset-2024,kaggle
Co0.5Fe0.5Mo0.5Ni1V0.5,FCC+BCC,382.0,,Kaggle-HEA-Dataset-2024,kaggle
Co1Fe1Mo1Ni1V1,FCC+BCC,625.0,,Kaggle-HEA-Dataset-2024,kaggle
Co1Fe1Ni1V1,FCC,238.0,,Kaggle-HEA-Dataset-2024,kaggle
